,median_income,total_population,tract,race,population
814,106758.0,5899.0,182001,asian_non_hispanic,361.0
995,140469.0,10293.0,182002,asian_non_hispanic,711.0
727,121422.0,4949.0,182003,asian_non_hispanic,497.0
52,114861.0,12033.0,182101,white_non_hispanic,8069.0
327,122192.0,8632.0,182102,white_non_hispanic,5463.0
1174,124241.0,3820.0,182103,other_non_hispanic,185.0
1040,103482.0,6005.0,182105,asian_non_hispanic,297.0
0,119868.0,7440.0,182106,white_non_hispanic,3955.0
1657,38523.0,3515.0,190100,hispanic,2723.0
1159,55398.0,4363.0,190200,other_non_hispanic,141.0
213,69348.0,4242.0,190400,white_non_hispanic,2277.0
1511,48942.0,3474.0,190501,hispanic,3192.0
1468,54148.0,3767.0,190503,hispanic,3002.0
1796,42353.0,2837.0,190504,hispanic,2147.0
1510,46818.0,4514.0,190601,hispanic,3893.0
1694,47625.0,3250.0,190603,hispanic,2856.0
1516,38852.0,4801.0,190604,hispanic,4445.0
1659,48237.0,3107.0,190700,hispanic,2074.0
72,148750.0,1832.0,190800,white_non_hispanic,1328.0
747,39583.0,6286.0,190901,asian_non_hispanic,235.0
524,71689.0,4467.0,190902,black_non_hispanic,262.0
1691,38873.0,9238.0,191003,hispanic,7093.0
1606,33654.0,4732.0,191004,hispanic,3983.0
1517,48043.0,2350.0,191005,hispanic,2069.0
1692,34690.0,6271.0,191006,hispanic,5755.0
245,117443.0,2083.0,191101,white_non_hispanic,1173.0
289,87670.0,2364.0,191102,white_non_hispanic,1189.0
110,68516.0,3489.0,191201,white_non_hispanic,1572.0
247,49821.0,5448.0,191202,white_non_hispanic,2120.0
25,60577.0,1784.0,191303,white_non_hispanic,881.0
654,28287.0,2523.0,191304,black_non_hispanic,178.0
64,73902.0,8862.0,191405,white_non_hispanic,4736.0
106,125801.0,6425.0,191406,white_non_hispanic,4356.0
1070,33281.0,2556.0,191408,asian_non_hispanic,180.0
742,42898.0,7187.0,191409,asian_non_hispanic,558.0
1107,41331.0,5352.0,191410,other_non_hispanic,212.0
831,62959.0,4576.0,191411,asian_non_hispanic,283.0
61,183529.0,2447.0,191412,white_non_hispanic,1680.0
65,74861.0,6536.0,191413,white_non_hispanic,3611.0
277,91324.0,5474.0,191503,white_non_hispanic,2942.0
9,215083.0,2583.0,191504,white_non_hispanic,1934.0
239,147750.0,2492.0,191505,white_non_hispanic,1367.0
1067,81656.0,6553.0,191506,asian_non_hispanic,367.0
350,113750.0,1410.0,191701,white_non_hispanic,1027.0
295,92372.0,7619.0,191702,white_non_hispanic,5012.0
76,127548.0,7554.0,191804,white_non_hispanic,4708.0
1071,145579.0,8484.0,191806,asian_non_hispanic,737.0
1007,76944.0,7565.0,191807,asian_non_hispanic,473.0
1023,97027.0,4615.0,191808,asian_non_hispanic,376.0
975,113000.0,6966.0,191809,asian_non_hispanic,459.0
1022,93784.0,4275.0,191810,asian_non_hispanic,323.0
108,118393.0,4451.0,191811,white_non_hispanic,2513.0
938,145556.0,4203.0,191812,asian_non_hispanic,369.0
291,103810.0,7314.0,191813,white_non_hispanic,3965.0
352,97639.0,4183.0,191814,white_non_hispanic,2347.0
833,84286.0,4750.0,191815,asian_non_hispanic,605.0
210,76250.0,2692.0,191816,white_non_hispanic,1808.0
892,98311.0,12785.0,191817,asian_non_hispanic,1178.0
615,32255.0,4855.0,191900,black_non_hispanic,846.0
297,37500.0,5010.0,192000,white_non_hispanic,2343.0
249,73194.0,2299.0,192100,white_non_hispanic,1090.0
1388,41623.0,2790.0,192200,other_non_hispanic,158.0
250,79113.0,5670.0,192300,white_non_hispanic,2521.0
188,59722.0,1033.0,980003,white_non_hispanic,662.0
1287,48125.0,793.0,980100,other_non_hispanic,47.0
